﻿yxbh,院系,rxnf,年级,zy,专业,bjbh,班级
00001,[1010]公共管理学院,2025,2025,2F8460C145584F1FBD9A11A782219039,国际事务与国际关系(中外合作办学),7E1A936057764F3A94BA738EFCD87B51,国务(中外合作办学)2501班
00001,[1010]公共管理学院,2025,2025,2F8460C145584F1FBD9A11A782219039,国际事务与国际关系(中外合作办学),A6C0EF8DB54048E38D9AE9F9888DED44,国务(中外合作办学)2502班
00001,[1010]公共管理学院,2025,2025,00005,行政管理,41E4BE6F8566468491FE18EB7235DAF7,行政管理2501班
00001,[1010]公共管理学院,2024,2024,2F8460C145584F1FBD9A11A782219039,国际事务与国际关系(中外合作办学),206F215E047F4FC5AB1A97AB4331849E,国务(中外合作办学)2401班
00001,[1010]公共管理学院,2024,2024,2F8460C145584F1FBD9A11A782219039,国际事务与国际关系(中外合作办学),7595285B3239484DB1F4650C8D526508,国务(中外合作办学)2402班
00001,[1010]公共管理学院,2024,2024,2F8460C145584F1FBD9A11A782219039,国际事务与国际关系(中外合作办学),C1680C27F7474B868093DF46553219FE,国务(中外合作办学)2403班
00001,[1010]公共管理学院,2024,2024,2F8460C145584F1FBD9A11A782219039,国际事务与国际关系(中外合作办学),76C80B96EB154DC5BE204B6A5DA2413F,国务(中外合作办学)2404班
00001,[1010]公共管理学院,2024,2024,00005,行政管理,3E92C57C40B8442AB94A67E2DD6C48C3,行政管理2401班
00001,[1010]公共管理学院,2023,2023,2F8460C145584F1FBD9A11A782219039,国际事务与国际关系(中外合作办学),7A430C7C791B49258D173A855FA3F06B,国务(中外合作办学)2301班
00001,[1010]公共管理学院,2023,2023,2F8460C145584F1FBD9A11A782219039,国际事务与国际关系(中外合作办学),DBA39441B7284BE49E8B034AA495BE3F,国务(中外合作办学)2302班
00001,[1010]公共管理学院,2023,2023,00005,行政管理,4D32F378D7414DF3B6137ABDE886FC88,行政管理2301班
00001,[1010]公共管理学院,2023,2023,32C11CB148B1401697B240304BE8C2D5,微专业 公务员知识与技能,3CC08F4EA79146BE967D0B1C92EBCED6,微专业公务员知识与技能2301班
00001,[1010]公共管理学院,2022,2022,2F8460C145584F1FBD9A11A782219039,国际事务与国际关系(中外合作办学),746D089671A743EAA6E3F4806904BFCF,国务(中外合作办学)2201班
00001,[1010]公共管理学院,2022,2022,2F8460C145584F1FBD9A11A782219039,国际事务与国际关系(中外合作办学),9C38F4ACE04D48BD8E33671BF4836151,国务(中外合作办学)2202班
00001,[1010]公共管理学院,2022,2022,00001,公共管理类,35969CA61C614EA88ABA3CF7E4E618BE,公共管理类2201班
00001,[1010]公共管理学院,2022,2022,00001,公共管理类,9EC2BE2D9BBE4D1289B0E018364F7852,公共管理类2202班
00001,[1010]公共管理学院,2022,2022,00005,行政管理,C052026EF0FF464496F3C951B46FA0CC,行政管理2201班
00002,[1020]文学院,2025,2025,00008,汉语言文学,DDDB1FAB54E1469496915565FCA2FD2C,汉语言文学2501班
00002,[1020]文学院,2024,2024,00150,中国语言文学类,10C37E53AB7547C9A918B0998F3A01F7,中国语言文学类2401班
00002,[1020]文学院,2024,2024,00150,中国语言文学类,7C84D2D60CFB403AA06B91E029D46697,中国语言文学类2402班
00002,[1020]文学院,2024,2024,00008,汉语言文学,83F5927446E14F319AF9B471E44B41FB,汉语言文学2401班
00002,[1020]文学院,2024,2024,00008,汉语言文学,AA9A008ED7304319AB9EEA95BE37169D,汉语言文学2402班
00002,[1020]文学院,2024,2024,00233,汉语言文学(国家基地班),F1FE77E4BF7B480C9878C8EA10B5FB11,汉语言文学(国家基地班)2401班
00002,[1020]文学院,2024,2024,00215,汉语国际教育,7F7EB0A53D84478386911677036F5275,汉语国际教育2401班
00002,[1020]文学院,2023,2023,00150,中国语言文学类,05EEB895C42C4F6C96BE90680596C472,中国语言文学类2301班
00002,[1020]文学院,2023,2023,00150,中国语言文学类,024B4E0899384F71896211894B453F0A,中国语言文学类2302班
00002,[1020]文学院,2023,2023,00008,汉语言文学,2D55CE3737604EA3B1A862845196C972,汉语言文学2301班
00002,[1020]文学院,2023,2023,00233,汉语言文学(国家基地班),F6A1C81678034365AC8FD98BF31CB661,汉语言文学(国家基地班)2301班
00002,[1020]文学院,2023,2023,00215,汉语国际教育,F4A79E9D930245F093141C0F90FD3C1A,汉语国际教育2301班
00002,[1020]文学院,2022,2022,00150,中国语言文学类,850615336F834F3192C867AF1639BDC9,中国语言文学类2201班
00002,[1020]文学院,2022,2022,00150,中国语言文学类,516B650786A944349CE94942CFED3D8B,中国语言文学类2202班
00002,[1020]文学院,2022,2022,586ED504883B48AAA3FC4D8521E62884,汉语言文学(师范类),9CE13A8517F440A5AD7CE5AAFEC3CD37,汉语言文学(师范类)2201班
00002,[1020]文学院,2022,2022,586ED504883B48AAA3FC4D8521E62884,汉语言文学(师范类),865DDF79E3484390AEA5CB001A154A1E,汉语言文学(师范类)2202班
00002,[1020]文学院,2022,2022,586ED504883B48AAA3FC4D8521E62884,汉语言文学(师范类),C397A21872364C258B97FAB2C1A40D4E,汉语言文学(师范类)2203班
00002,[1020]文学院,2022,2022,00228,编辑出版学,41F7C6543B28489BA86B0FCD517BFAA8,编辑出版学2201班
00002,[1020]文学院,2022,2022,00233,汉语言文学(国家基地班),9A4F4819E8B54BB0A68B36CAB1FC2CDE,汉语言文学(国家基地班)2201班
00002,[1020]文学院,2022,2022,00215,汉语国际教育,E10733EFB0AD4745B0642C4BB3AA465C,汉语国际教育2201班
